subject_id,family,model,k_self,k_other,beta_self,beta_other,NLL,AIC,BIC
155,parabolic,1K1B,1.00361408606006e-09,1.00361408606006e-09,1.81952161323656,1.81952161323656,19.3416966896853,42.6833933793705,46.4257954011863
332,parabolic,1K1B,2.52565152006612e-08,2.52565152006612e-08,1.51360590362106,1.51360590362106,20.791342756778,45.582685513556,49.3250875353718
548,parabolic,1K1B,7.18578118495791e-09,7.18578118495791e-09,18.7226823745681,18.7226823745681,10.3972158242604,24.7944316485208,28.5368336703366
849,parabolic,1K1B,1.51546450748938e-09,1.51546450748938e-09,20.3017973338291,20.3017973338291,10.3972093280799,24.7944186561597,28.5368206779755
893,parabolic,1K1B,4.63874849768857e-10,4.63874849768857e-10,14.3366096929875,14.3366096929875,11.0903647898652,26.1807295797303,29.9231316015461
974,parabolic,1K1B,0.0913676942913469,0.0913676942913469,2.1632394685755,2.1632394685755,17.2305814177322,38.4611628354644,42.2035648572801
1019,parabolic,1K1B,9.51864324816383e-07,9.51864324816383e-07,0.102877354121046,0.102877354121046,31.7820501436896,67.5641002873792,71.306502309195
1083,parabolic,1K1B,0.0935360134678758,0.0935360134678758,1.10124143923502,1.10124143923502,26.4870965412277,56.9741930824553,60.7165951042711
1126,parabolic,1K1B,3.57145974854529e-09,3.57145974854529e-09,2.02294776780934,2.02294776780934,14.2213216172295,32.4426432344589,36.1850452562747
1252,parabolic,1K1B,5.6930690863758e-08,5.6930690863758e-08,0.888578269628857,0.888578269628857,26.0614441204358,56.1228882408715,59.8652902626873
1363,parabolic,1K1B,4.26362216915493e-08,4.26362216915493e-08,0.523670670715712,0.523670670715712,28.229036792249,60.4580735844981,64.2004756063139
1423,parabolic,1K1B,4.99195148945788e-10,4.99195148945788e-10,14.2734879169714,14.2734879169714,11.0903654089656,26.1807308179311,29.9231328397469
1499,parabolic,1K1B,3.23241299747509e-08,3.23241299747509e-08,0.62552165475693,0.62552165475693,27.9298809662505,59.859761932501,63.6021639543168
1867,parabolic,1K1B,1.49996920810252,1.49996920810252,0.0192382502288726,0.0192382502288726,32.1981125482429,68.3962250964858,72.1386271183015
1870,parabolic,1K1B,0.0137044930524248,0.0137044930524248,0.421065792680306,0.421065792680306,27.0575189054593,58.1150378109185,61.8574398327343
2397,parabolic,1K1B,0.108231831857499,0.108231831857499,2.07032896310133,2.07032896310133,19.5485121778607,43.0970243557213,46.8394263775371
2411,parabolic,1K1B,2.34406936773264e-08,2.34406936773264e-08,1.5626230689094,1.5626230689094,17.7369882548328,39.4739765096656,43.2163785314814
2431,parabolic,1K1B,7.75403336651748e-09,7.75403336651748e-09,1.12176874876607,1.12176874876607,22.9875764825146,49.9751529650293,53.717554986845
2690,parabolic,1K1B,2.03132416493838e-08,2.03132416493838e-08,1.21790717113493,1.21790717113493,22.9346313823585,49.8692627647171,53.6116647865329
2803,parabolic,1K1B,0.687402176863322,0.687402176863322,0.387247246192489,0.387247246192489,21.335923893009,46.671847786018,50.4142498078338
2854,parabolic,1K1B,4.63874849768857e-10,4.63874849768857e-10,14.3366096929875,14.3366096929875,11.0903647898652,26.1807295797303,29.9231316015461
2899,parabolic,1K1B,1.40526148734292e-08,1.40526148734292e-08,0.743159627310273,0.743159627310273,24.4403444195426,52.8806888390852,56.623090860901
2959,parabolic,1K1B,3.83344779838024e-09,3.83344779838024e-09,0.773620539637828,0.773620539637828,25.3318244929703,54.6636489859405,58.4060510077563
2998,parabolic,1K1B,0.079001738793713,0.079001738793713,1.00631678434796,1.00631678434796,28.369375838193,60.7387516763859,64.4811536982017
3103,parabolic,1K1B,0.0168473744367015,0.0168473744367015,2.00265999693203,2.00265999693203,18.3486991108368,40.6973982216736,44.4398002434893
3178,parabolic,1K1B,4.87572234767074e-09,4.87572234767074e-09,1.58739900405815,1.58739900405815,20.3785006822953,44.7570013645906,48.4994033864064
3210,parabolic,1K1B,3.04322725118197e-09,3.04322725118197e-09,1.793956450056,1.793956450056,18.5231218218164,41.0462436436327,44.7886456654485
3228,parabolic,1K1B,3.07824464248138e-09,3.07824464248138e-09,2.18158236836924,2.18158236836924,17.3543561952773,38.7087123905546,42.4511144123704
3472,parabolic,1K1B,9.58724109657953e-09,9.58724109657953e-09,18.9533892622887,18.9533892622887,11.0903629781585,26.180725956317,29.9231279781328
3624,parabolic,1K1B,0.108170524658695,0.108170524658695,2.12797691391262,2.12797691391262,18.0054097912003,40.0108195824005,43.7532216042163
3771,parabolic,1K1B,1.61994593476196e-08,1.61994593476196e-08,1.53284810016741,1.53284810016741,20.8377706022721,45.6755412045442,49.41794322636
3928,parabolic,1K1B,2.3748459617284e-08,2.3748459617284e-08,2.04452150976284,2.04452150976284,15.0034889045363,34.0069778090726,37.7493798308883
4164,parabolic,1K1B,8.16760750463084e-09,8.16760750463084e-09,0.987300194248005,0.987300194248005,23.2331044491744,50.4662088983487,54.2086109201645
4231,parabolic,1K1B,3.46988223183383e-08,3.46988223183383e-08,1.06872310666851,1.06872310666851,23.9793756546064,51.9587513092129,55.7011533310286
4241,parabolic,1K1B,2.75451186617962e-09,2.75451186617962e-09,2.6900045650402,2.6900045650402,13.3686953495221,30.7373906990441,34.4797927208599
4625,parabolic,1K1B,1.49998883869009,1.49998883869009,0.0211521508041086,0.0211521508041086,29.351618336156,62.703236672312,66.4456386941278
4920,parabolic,1K1B,6.98593064224255e-09,6.98593064224255e-09,19.0884718033372,19.0884718033372,11.0903629720612,26.1807259441224,29.9231279659381
4961,parabolic,1K1B,2.27878829295267e-08,2.27878829295267e-08,2.00760337451359,2.00760337451359,14.896862968826,33.793725937652,37.5361279594678
5096,parabolic,1K1B,4.63874849768857e-10,4.63874849768857e-10,14.3366096929875,14.3366096929875,11.0903647898652,26.1807295797303,29.9231316015461
5113,parabolic,1K1B,0.0650044261880884,0.0650044261880884,0.141911491688706,0.141911491688706,32.4500983701509,68.9001967403019,72.6425987621176
5156,parabolic,1K1B,4.99484410781745e-09,4.99484410781745e-09,2.19282419725943,2.19282419725943,16.6737255082286,37.3474510164573,41.0898530382731
5273,parabolic,1K1B,5.0843629375952e-09,5.0843629375952e-09,2.18158163470309,2.18158163470309,16.6612090147489,37.3224180294978,41.0648200513136
5495,parabolic,1K1B,2.77022446485154e-09,2.77022446485154e-09,1.0431899309751,1.0431899309751,23.8651642562982,51.7303285125964,55.4727305344122
5654,parabolic,1K1B,0.00560893014322183,0.00560893014322183,0.6781416208243,0.6781416208243,27.9103101625433,59.8206203250865,63.5630223469023
5822,parabolic,1K1B,4.63874849768857e-10,4.63874849768857e-10,14.3366096929875,14.3366096929875,11.0903647898652,26.1807295797303,29.9231316015461
5835,parabolic,1K1B,2.97141090428601e-08,2.97141090428601e-08,18.5664129966025,18.5664129966025,7.62462708069499,19.24925416139,22.9916561832058
5918,parabolic,1K1B,0.229056397647539,0.229056397647539,0.904981353203625,0.904981353203625,25.017482240817,54.0349644816341,57.7773665034499
6055,parabolic,1K1B,1.16261057754737e-09,1.16261057754737e-09,1.58740097250826,1.58740097250826,20.3785003822587,44.7570007645174,48.4994027863332
6121,parabolic,1K1B,1.37864018575435e-09,1.37864018575435e-09,19.332353699956,19.332353699956,11.0903565483785,26.1807130967571,29.9231151185729
6246,parabolic,1K1B,0.0611276790625317,0.0611276790625317,0.0690386997400796,0.0690386997400796,32.5476330123537,69.0952660247073,72.8376680465231
6324,parabolic,1K1B,4.5895197447012e-07,4.5895197447012e-07,0.832626217839292,0.832626217839292,24.3463027522917,52.6926055045835,56.4350075263992
6332,parabolic,1K1B,3.38576204262846e-07,3.38576204262846e-07,0.213200564896748,0.213200564896748,32.1542113808126,68.3084227616253,72.0508247834411
6335,parabolic,1K1B,2.8271427079707e-09,2.8271427079707e-09,2.19282375493495,2.19282375493495,17.3668726887604,38.7337453775207,42.4761473993365
6397,parabolic,1K1B,7.09191960474664e-09,7.09191960474664e-09,18.8012957962289,18.8012957962289,11.0903629917152,26.1807259834304,29.9231280052462
6469,parabolic,1K1B,0.00484565755376833,0.00484565755376833,1.38209418429378,1.38209418429378,21.570960663209,47.1419213264181,50.8843233482338
6495,parabolic,1K1B,9.36304043960792e-07,9.36304043960792e-07,1.80423934340755,1.80423934340755,17.9291113130093,39.8582226260185,43.6006246478343
6604,parabolic,1K1B,4.63874849768857e-10,4.63874849768857e-10,14.3366096929875,14.3366096929875,11.0903647898652,26.1807295797303,29.9231316015461
6644,parabolic,1K1B,0.102522405535189,0.102522405535189,0.381591465164221,0.381591465164221,32.3833578057296,68.7667156114591,72.5091176332749
6707,parabolic,1K1B,7.29855887809423e-09,7.29855887809423e-09,19.0625760800645,19.0625760800645,9.70406861198644,23.4081372239729,27.1505392457887
7047,parabolic,1K1B,2.84926595625428e-09,2.84926595625428e-09,14.0029025947152,14.0029025947152,7.62463136063097,19.2492627212619,22.9916647430777
7107,parabolic,1K1B,3.42749323706268e-08,3.42749323706268e-08,1.04804809964822,1.04804809964822,21.9704421361302,47.9408842722604,51.6832862940762
7389,parabolic,1K1B,3.42916368828877e-09,3.42916368828877e-09,2.77172802727385,2.77172802727385,13.4444981894395,30.888996378879,34.6313984006948
7512,parabolic,1K1B,8.02265223767408e-09,8.02265223767408e-09,18.8168111706362,18.8168111706362,9.0109214491398,22.0218428982796,25.7642449200954
7656,parabolic,1K1B,4.30233425132567e-08,4.30233425132567e-08,0.28394847678657,0.28394847678657,30.4895576876486,64.9791153752973,68.7215173971131
7772,parabolic,1K1B,4.18984141956704e-07,4.18984141956704e-07,1.34621714983966,1.34621714983966,21.5804546878374,47.1609093756747,50.9033113974905
7803,parabolic,1K1B,0.0753865589823334,0.0753865589823334,0.308219688964108,0.308219688964108,32.6947012335623,69.3894024671247,73.1318044889405
7875,parabolic,1K1B,5.12800150099857e-10,5.12800150099857e-10,14.1467199795657,14.1467199795657,9.70407169765952,23.408143395319,27.1505454171348
7927,parabolic,1K1B,5.43267586654443e-10,5.43267586654443e-10,14.1236380365402,14.1236380365402,10.3972183948992,24.7944367897983,28.5368388116141
7937,parabolic,1K1B,2.35405139531124e-09,2.35405139531124e-09,2.82591482429786,2.82591482429786,13.5035944151468,31.0071888302936,34.7495908521094
