subject_id,p_1k1b_NLL,p_1k1b_AIC,p_1k1b_BIC,p_1k2b_NLL,p_1k2b_AIC,p_1k2b_BIC,p_2k1b_NLL,p_2k1b_AIC,p_2k1b_BIC,p_2k2b_NLL,p_2k2b_AIC,p_2k2b_BIC,l_1k1b_NLL,l_1k1b_AIC,l_1k1b_BIC,l_1k2b_NLL,l_1k2b_AIC,l_1k2b_BIC,l_2k1b_NLL,l_2k1b_AIC,l_2k1b_BIC,l_2k2b_NLL,l_2k2b_AIC,l_2k2b_BIC,h_1k1b_NLL,h_1k1b_AIC,h_1k1b_BIC,h_1k2b_NLL,h_1k2b_AIC,h_1k2b_BIC,h_2k1b_NLL,h_2k1b_AIC,h_2k1b_BIC,h_2k2b_NLL,h_2k2b_AIC,h_2k2b_BIC,grupo
155,19.3416969898021,42.6833939796043,46.4257960014201,28.4947875889103,62.9895751778207,68.6031782105443,19.3416969897816,44.6833939795633,50.2969970122869,28.4947859488331,64.9895718976662,72.4743759412977,12.5061363363157,29.0122726726314,32.7546746944472,26.0106882651525,58.021376530305,63.6349795630287,18.3137292136334,42.6274584272667,48.2410614599904,26.01068826518,60.02137653036,67.5061805739916,17.2702259879281,38.5404519758562,42.2828539976719,28.0920628559963,62.1841257119927,67.7977287447164,19.3416819580916,44.6833639161832,50.2969669489068,28.0920628610173,64.1841257220346,71.6689297656661,0
332,20.7913427567779,45.5826855135559,49.3250875353717,29.0782087180665,64.156417436133,69.7700204688567,20.791342895724,47.582685791448,53.1962888241716,29.0782071180674,66.1564142361349,73.6412182797665,17.1509600664517,38.3019201329034,42.0443221547191,28.5692120401708,63.1384240803417,68.7520271130654,20.7747109983578,47.5494219967156,53.1630250294393,28.5692120390603,65.1384240781206,72.6232281217521,16.8454102405638,37.6908204811276,41.4332225029434,27.1373878866069,60.2747757732138,65.8883788059375,20.7830396389197,47.5660792778395,53.1796823105632,27.1373878981885,62.2747757963771,69.7595798400086,1
548,10.39720932803,24.7944186560601,28.5368206778759,20.7944473824061,47.5888947648121,53.2024977975358,10.3972093288756,26.7944186577512,32.4080216904749,20.7944554295797,49.5889108591594,57.0737149027909,-0,4,7.74240202181578,15.9423851528787,37.8847703057575,43.4983733384812,5.54517744447956,17.0903548889591,22.7039579216828,15.9423851528787,39.8847703057575,47.369574349389,-0,4,7.74240202181578,15.9423851528787,37.8847703057575,43.4983733384812,5.54517744447956,17.0903548889591,22.7039579216828,15.9423851528787,39.8847703057575,47.369574349389,0
849,10.397215795354,24.7944315907081,28.5368336125238,20.1012698359258,46.2025396718516,51.8161427045753,10.3972115264605,26.7944230529209,32.4080260856446,20.1013315738196,48.2026631476392,55.6874671912707,-0,4,7.74240202181578,14.5560907917589,35.1121815835177,40.7257846162414,4.85203026391962,15.7040605278392,21.3176635605629,14.5560907917589,37.1121815835177,44.5969856271493,-0,4,7.74240202181578,14.5560907917589,35.1121815835177,40.7257846162414,4.85203026391962,15.7040605278392,21.3176635605629,14.5560907917589,37.1121815835177,44.5969856271493,1
893,11.0903630073764,26.1807260147529,29.9231280365687,22.1807177866169,50.3614355732338,55.9750386059575,11.0903628344091,28.1807256688183,33.7943287015419,22.1807496381784,52.3614992763569,59.8463033199884,-0,4,7.74240202181578,16.6355323334387,39.2710646668774,44.884667699601,5.54517744447956,17.0903548889591,22.7039579216828,16.6355323334387,41.2710646668774,48.7558687105089,-0,4,7.74240202181578,16.6355323334387,39.2710646668774,44.884667699601,5.54517744447956,17.0903548889591,22.7039579216828,16.6355323334387,41.2710646668774,48.7558687105089,1
974,17.2305814177322,38.4611628354645,42.2035648572803,21.6835398372931,49.3670796745863,54.98068270731,18.4694062572231,42.9388125144461,48.5524155471698,21.6835398372932,51.3670796745863,58.8518837182179,20.0080533134099,44.0161066268199,47.7585086486356,24.2560615360505,54.512123072101,60.1257261048247,20.6367802367742,47.2735604735485,52.8871635062722,24.2560615396752,56.5121230793504,63.996927122982,20.4837459509813,44.9674919019626,48.7098939237784,24.50547320138,55.0109464027599,60.6245494354836,21.2724460883197,48.5448921766394,54.1584952093631,24.5054732014731,57.0109464029462,64.4957504465777,1
1019,31.7820504636139,67.5641009272279,71.3065029490436,25.9629607099372,57.9259214198745,63.5395244525981,19.4282923060575,44.856584612115,50.4701876448387,25.9629607099372,59.9259214198745,67.4107254635061,31.7714733382087,67.5429466764174,71.2853486982332,21.7683336458259,49.5366672916519,55.1502703243755,15.7815453331627,37.5630906663255,43.1766936990492,21.7683336459162,51.5366672918324,59.021471335464,31.7820193809871,67.5640387619742,71.30644078379,23.2106205454522,52.4212410909045,58.0348441236281,9.93884583176619,25.8776916635324,31.4912946962561,23.2106205449913,54.4212410899826,61.9060451336142,1
1083,26.4870965412274,56.9741930824547,60.7165951042705,29.7089274425421,65.4178548850842,71.0314579178079,27.0733762065102,60.1467524130203,65.760355445744,29.7089274425421,67.4178548850842,74.9026589287158,28.7365845457361,61.4731690914721,65.2155711132879,31.1673886929042,68.3347773858084,73.9483804185321,28.6329450508957,63.2658901017914,68.8794931345151,31.1673886879506,70.3347773759012,77.8195814195328,27.9101157031706,59.8202314063412,63.562633428157,30.7740117854988,67.5480235709976,73.1616266037213,28.1286304296601,62.2572608593201,67.8708638920438,30.7740117864167,69.5480235728334,77.0328276164649,1
1126,14.2213216172159,32.4426432344317,36.1850452562475,23.188269838365,52.3765396767301,57.9901427094537,14.2213216172547,34.4426432345095,40.0562462672331,23.1882698383367,54.3765396766733,61.8613437203049,5.32131594596287,14.6426318919257,18.3850339137415,18.8202785982824,43.6405571965648,49.2541602292885,11.9621745716373,29.9243491432746,35.5379521759982,18.8202785983073,45.6405571966147,53.1253612402462,8.32390683018854,20.6478136603771,24.3902156821929,20.5093532175775,47.018706435155,52.6323094678787,13.3767511428884,32.7535022857767,38.3671053185004,20.5093532080396,49.0187064160793,56.5035104597108,0
1252,26.0614422004356,56.1228844008712,59.865286422687,29.232124975886,64.4642499517721,70.0778529844958,26.0614425204587,58.1228850409174,63.7364880736411,29.2321249736395,66.4642499472789,73.9490539909105,22.2843942837598,48.5687885675196,52.3111905893354,27.1211580069807,60.2423160139615,65.8559190466851,24.7267215789647,55.4534431579294,61.0670461906531,27.1211580069808,62.2423160139615,69.7271200575931,25.643002942621,55.286005885242,59.0284079070578,29.0743204451571,64.1486408903142,69.7622439230379,25.9983363746404,57.9966727492808,63.6102757820044,29.074320433162,66.148640866324,73.6334449099556,1
