subject_id,family,model,k_self,k_other,beta_self,beta_other,NLL,AIC,BIC
155,parabolic,1K1B,4.01851943228623e-09,4.01851943228623e-09,1.81952159628717,1.81952159628717,19.3416969898021,42.6833939796043,46.4257960014201
332,parabolic,1K1B,2.52565144051528e-08,2.52565144051528e-08,1.51360589418357,1.51360589418357,20.7913427567779,45.5826855135559,49.3250875353717
548,parabolic,1K1B,1.31513282143911e-09,1.31513282143911e-09,20.444806312775,20.444806312775,10.39720932803,24.7944186560601,28.5368206778759
849,parabolic,1K1B,8.18484288884031e-09,8.18484288884031e-09,18.7895485394228,18.7895485394228,10.397215795354,24.7944315907081,28.5368336125238
893,parabolic,1K1B,7.12536392808954e-09,7.12536392808954e-09,18.7089495003536,18.7089495003536,11.0903630073764,26.1807260147529,29.9231280365687
974,parabolic,1K1B,0.0913677018086019,0.0913677018086019,2.16323971962117,2.16323971962117,17.2305814177322,38.4611628354645,42.2035648572803
1019,parabolic,1K1B,4.7577974132116e-06,4.7577974132116e-06,0.102879162973249,0.102879162973249,31.7820504636139,67.5641009272279,71.3065029490436
1083,parabolic,1K1B,0.0935359891416316,0.0935359891416316,1.10124121721631,1.10124121721631,26.4870965412274,56.9741930824547,60.7165951042705
1126,parabolic,1K1B,3.57133819186647e-09,3.57133819186647e-09,2.02294784045511,2.02294784045511,14.2213216172159,32.4426432344317,36.1850452562475
1252,parabolic,1K1B,2.27725109702518e-09,2.27725109702518e-09,0.888577959510007,0.888577959510007,26.0614422004356,56.1228844008712,59.865286422687
1363,parabolic,1K1B,8.45584594022335e-07,8.45584594022335e-07,0.523672497496799,0.523672497496799,28.2290443888116,60.4580887776232,64.200490799439
1423,parabolic,1K1B,7.56420742211605e-09,7.56420742211605e-09,18.8779669837892,18.8779669837892,11.0903629868667,26.1807259737335,29.9231279955493
1499,parabolic,1K1B,3.23241296520071e-08,3.23241296520071e-08,0.625521741957643,0.625521741957643,27.9298809662505,59.8597619325009,63.6021639543167
1867,parabolic,1K1B,0.499999911979509,0.499999911979509,0.059839538500637,0.059839538500637,32.2434861945887,68.4869723891774,72.2293744109932
1870,parabolic,1K1B,0.0137045530495977,0.0137045530495977,0.421065957784897,0.421065957784897,27.0575189054594,58.1150378109187,61.8574398327345
2397,parabolic,1K1B,0.108231832174166,0.108231832174166,2.07032895232006,2.07032895232006,19.5485121778606,43.0970243557213,46.8394263775371
2411,parabolic,1K1B,4.68833670294626e-09,4.68833670294626e-09,1.56262284273121,1.56262284273121,17.7369866548502,39.4739733097004,43.2163753315161
2431,parabolic,1K1B,7.75403156128516e-09,7.75403156128516e-09,1.12176887205761,1.12176887205761,22.9875764825144,49.9751529650289,53.7175549868447
2690,parabolic,1K1B,2.01169337496619e-08,2.01169337496619e-08,1.21790763393627,1.21790763393627,22.9346313784546,49.8692627569091,53.6116647787249
2803,parabolic,1K1B,0.499999792028089,0.499999792028089,0.551172010558474,0.551172010558474,21.4655830637581,46.9311661275162,50.673568149332
2854,parabolic,1K1B,7.12536392808954e-09,7.12536392808954e-09,18.7089495003536,18.7089495003536,11.0903630073764,26.1807260147529,29.9231280365687
2899,parabolic,1K1B,1.4052657771773e-08,1.4052657771773e-08,0.743159609327079,0.743159609327079,24.4403444195438,52.8806888390876,56.6230908609034
2959,parabolic,1K1B,3.83322271060451e-07,3.83322271060451e-07,0.773621857585691,0.773621857585691,25.331832412938,54.6636648258759,58.4060668476917
2998,parabolic,1K1B,0.0790017648163413,0.0790017648163413,1.00631706294973,1.00631706294973,28.3693758381934,60.7387516763869,64.4811536982027
3103,parabolic,1K1B,0.016847372079967,0.016847372079967,2.00265985039875,2.00265985039875,18.3486991108367,40.6973982216735,44.4398002434893
3178,parabolic,1K1B,4.87570837210959e-09,4.87570837210959e-09,1.58740141596172,1.58740141596172,20.3785006822858,44.7570013645716,48.4994033863874
3210,parabolic,1K1B,6.08633659584204e-10,6.08633659584204e-10,1.79395645499912,1.79395645499912,18.5231215018071,41.0462430036143,44.78864502543
3228,parabolic,1K1B,3.07814378749789e-09,3.07814378749789e-09,2.1815824325258,2.1815824325258,17.3543561952642,38.7087123905285,42.4511144123442
3472,parabolic,1K1B,9.62759199801469e-09,9.62759199801469e-09,18.886142970947,18.886142970947,11.0903629898558,26.1807259797115,29.9231280015273
3624,parabolic,1K1B,0.108170531722121,0.108170531722121,2.1279772305637,2.1279772305637,18.0054097912003,40.0108195824007,43.7532216042164
3771,parabolic,1K1B,1.62015080204511e-10,1.62015080204511e-10,1.53284796338837,1.53284796338837,20.8377686222755,45.675537244551,49.4179392663668
3928,parabolic,1K1B,4.75002962505964e-09,4.75002962505964e-09,2.04452128452363,2.04452128452363,15.0034873045652,34.0069746091304,37.7493766309461
4164,parabolic,1K1B,8.16825441950551e-09,8.16825441950551e-09,0.987299819707303,0.987299819707303,23.2331044492064,50.4662088984128,54.2086109202286
4231,parabolic,1K1B,6.94024860949609e-09,6.94024860949609e-09,1.06872241232296,1.06872241232296,23.9793740546331,51.9587481092661,55.7011501310819
